Name,Fraktion,Anzahl_abgegebene_Stimmen,CDU_CSU_proz,DIE_GRUENEN_proz,DIE_LINKE_proz,SPD_proz,Proz_Abweichungen
Marco Bülow,SPD,130,0.00,0.123076923076923,0.176923076923077,0.7,0.307692307692308
Dr. Ute Finckh-Krämer,SPD,171,0.00584795321637427,0.0701754385964912,0.198830409356725,0.725146198830409,0.274853801169591
Klaus Barthel,SPD,192,0.00,0.0572916666666667,0.192708333333333,0.75,0.255208333333333
Cansel Kiziltepe,SPD,184,0.00543478260869565,0.0625,0.176630434782609,0.755434782608696,0.25
Waltraud Wolff (Wolmirstedt),SPD,180,0.00,0.0583333333333333,0.191666666666667,0.75,0.25
Hilde Mattheis,SPD,183,0.0109289617486339,0.0573770491803279,0.133879781420765,0.797814207650273,0.207650273224044
Christian Petry,SPD,196,0.0102040816326531,0.038265306122449,0.10969387755102,0.841836734693878,0.158163265306122
Rüdiger Veit,SPD,170,0.00588235294117647,0.05,0.0911764705882353,0.852941176470588,0.152941176470588
Hans-Christian Ströbele,DIE GRÜNEN,179,0.00,0.849162011173184,0.150837988826816,0.00,0.150837988826816
Bettina Bähr-Losse,SPD,44,0.00,0.0568181818181818,0.0795454545454545,0.863636363636364,0.136363636363636
Petra Hinz (Essen),SPD,118,0.00,0.0338983050847458,0.0847457627118644,0.88135593220339,0.11864406779661
Corinna Rüffer,DIE GRÜNEN,165,0.00606060606060606,0.890909090909091,0.103030303030303,0.00,0.109090909090909
